latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.94903,-72.30768,9.0,-14400,America/New_York,GMT-4

time,weather_code (wmo code),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),daylight_duration (s)
2011-11-21,51,1.30,1.30,6.0,34996.86
2011-11-22,61,5.70,5.70,5.0,34890.46
2011-11-23,63,44.90,44.90,18.0,34786.25
2011-11-24,3,0.00,0.00,0.0,34684.38
2011-11-25,3,0.00,0.00,0.0,34584.98
2011-11-26,3,0.00,0.00,0.0,34488.24
2011-11-27,3,0.00,0.00,0.0,34394.28
2011-11-28,3,0.00,0.00,0.0,34303.28
2011-11-29,63,15.40,15.40,8.0,34215.38
2011-11-30,63,15.70,15.70,6.0,34130.75
2011-12-01,1,0.00,0.00,0.0,34049.55
2011-12-02,2,0.00,0.00,0.0,33971.93
2011-12-03,3,0.00,0.00,0.0,33898.06
2011-12-04,3,0.00,0.00,0.0,33828.09
2011-12-05,3,0.00,0.00,0.0,33762.21
2011-12-06,55,6.60,6.60,14.0,33700.56
2011-12-07,63,33.70,33.70,22.0,33643.05
2011-12-08,71,15.70,15.50,7.0,33589.00
2011-12-09,51,0.10,0.10,1.0,33538.39
2011-12-10,53,2.60,2.60,8.0,33491.28
2011-12-11,0,0.00,0.00,0.0,33447.73
2011-12-12,3,0.00,0.00,0.0,33407.79
2011-12-13,3,0.00,0.00,0.0,33371.51
2011-12-14,3,0.00,0.00,0.0,33338.95
2011-12-15,53,1.40,1.40,2.0,33310.16
2011-12-16,3,0.00,0.00,0.0,33285.19
2011-12-17,3,0.00,0.00,0.0,33264.07
2011-12-18,3,0.00,0.00,0.0,33246.88
2011-12-19,3,0.00,0.00,0.0,33233.62
2011-12-20,3,0.00,0.00,0.0,33224.37
2011-12-21,55,3.70,3.70,7.0,33219.16
2011-12-22,53,1.50,1.50,3.0,33218.01
2011-12-23,63,23.50,23.50,9.0,33220.97
2011-12-24,3,0.00,0.00,0.0,33228.07
2011-12-25,3,0.00,0.00,0.0,33239.36
2011-12-26,51,0.10,0.10,1.0,33254.84
2011-12-27,63,13.90,13.90,8.0,33274.62
2011-12-28,63,2.80,2.80,2.0,33298.87
2011-12-29,3,0.00,0.00,0.0,33327.50
2011-12-30,3,0.00,0.00,0.0,33360.43
2011-12-31,53,2.40,2.40,7.0,33397.54
2012-01-01,55,1.10,1.10,2.0,33438.75
2012-01-02,61,1.50,1.50,2.0,33483.95
2012-01-03,3,0.00,0.00,0.0,33533.04
2012-01-04,3,0.00,0.00,0.0,33585.92
2012-01-05,3,0.00,0.00,0.0,33642.48
2012-01-06,51,0.20,0.20,1.0,33702.63
2012-01-07,2,0.00,0.00,0.0,33766.25
2012-01-08,3,0.00,0.00,0.0,33833.24
2012-01-09,3,0.00,0.00,0.0,33903.48
2012-01-10,3,0.00,0.00,0.0,33976.90
2012-01-11,3,0.00,0.00,0.0,34053.36
2012-01-12,63,31.90,31.90,20.0,34132.78
2012-01-13,53,1.30,1.30,3.0,34215.04
2012-01-14,3,0.00,0.00,0.0,34300.03
2012-01-15,2,0.00,0.00,0.0,34387.67
2012-01-16,3,0.00,0.00,0.0,34478.17
2012-01-17,53,5.70,5.70,15.0,34572.48
2012-01-18,3,0.00,0.00,0.0,34670.50
2012-01-19,71,0.20,0.20,2.0,34772.03
2012-01-20,71,1.60,1.50,6.0,34876.89
2012-01-21,75,10.10,1.00,14.0,34984.91
2012-01-22,3,0.00,0.00,0.0,35095.89
2012-01-23,61,5.50,5.50,4.0,35209.66
2012-01-24,53,1.70,1.70,4.0,35326.03
2012-01-25,3,0.00,0.00,0.0,35444.84
2012-01-26,71,5.00,4.80,11.0,35565.92
2012-01-27,63,16.20,16.20,15.0,35689.10
2012-01-28,2,0.00,0.00,0.0,35814.21
2012-01-29,3,0.00,0.00,0.0,35941.09
2012-01-30,51,0.70,0.70,2.0,36069.57
2012-01-31,3,0.00,0.00,0.0,36199.52
2012-02-01,61,2.50,2.50,3.0,36330.76
2012-02-02,51,0.90,0.90,3.0,36463.15
2012-02-03,51,0.20,0.20,1.0,36596.55
2012-02-04,3,0.00,0.00,0.0,36730.80
2012-02-05,3,0.00,0.00,0.0,36866.21
2012-02-06,0,0.00,0.00,0.0,37004.03
2012-02-07,1,0.00,0.00,0.0,37144.20
2012-02-08,73,1.50,0.40,6.0,37286.54
2012-02-09,51,0.20,0.20,1.0,37430.88
2012-02-10,51,0.80,0.80,3.0,37577.05
